$GNGGA,001844.00,3859.53170819,N,07656.24956228,W,1,15,1.4,20.2397,M,-33.0524,M,,*7A


$GNGGA,001845.00,3859.53162204,N,07656.24949564,W,1,15,1.4,20.2367,M,-33.0524,M,,*70


$GNGGA,001846.00,3859.53156011,N,07656.24945866,W,1,15,1.4,20.2319,M,-33.0524,M,,*78


$GNGGA,001847.00,3859.53153262,N,07656.24950055,W,1,15,1.4,20.2290,M,-33.0524,M,,*76


$GNGGA,001848.00,3859.53160327,N,07656.24973144,W,1,14,2.5,20.2368,M,-33.0524,M,,*7C


$GNGGA,001850.00,3859.53207970,N,07656.25023866,W,1,14,2.5,20.5294,M,-33.0524,M,,*7E


$GNGGA,001851.00,3859.53212142,N,07656.25038701,W,1,14,2.5,20.7008,M,-33.0524,M,,*73


$GNGGA,001852.00,3859.53265572,N,07656.25047054,W,1,14,2.5,20.1222,M,-33.0524,M,,*74


$GNGGA,001853.00,3859.53333432,N,07656.25074655,W,1,15,1.5,19.6489,M,-33.0524,M,,*7D


$GNGGA,001854.00,3859.53398643,N,07656.25098004,W,1,15,1.5,19.4914,M,-33.0523,M,,*73


$GNGGA,001855.00,3859.53462669,N,07656.25111128,W,1,14,2.5,19.5877,M,-33.0523,M,,*70


$GNGGA,001856.00,3859.53535027,N,07656.25110512,W,1,15,1.5,19.7845,M,-33.0523,M,,*71


$GNGGA,001858.00,3859.53670279,N,07656.25078159,W,1,16,1.3,19.6539,M,-33.0524,M,,*75


$GNGGA,001859.00,3859.53726170,N,07656.25057746,W,1,16,1.3,19.9838,M,-33.0524,M,,*7A


$GNGGA,001900.00,3859.53789633,N,07656.25049499,W,1,16,1.3,20.2489,M,-33.0524,M,,*7B


$GNGGA,001901.00,3859.53853062,N,07656.25040134,W,1,16,1.3,20.4563,M,-33.0524,M,,*78


$GNGGA,001902.00,3859.53914511,N,07656.25031188,W,1,16,1.3,20.6018,M,-33.0524,M,,*72


$GNGGA,001903.00,3859.53971192,N,07656.25021078,W,1,16,1.3,20.7066,M,-33.0524,M,,*78


$GNGGA,001904.00,3859.54015932,N,07656.25018800,W,1,16,1.3,20.5892,M,-33.0524,M,,*7D


$GNGGA,001906.00,3859.54114323,N,07656.25007342,W,1,16,1.3,20.6695,M,-33.0524,M,,*7C


$GNGGA,001907.00,3859.54166733,N,07656.24986364,W,1,16,1.3,20.8140,M,-33.0524,M,,*79


$GNGGA,001908.00,3859.54220643,N,07656.24935520,W,1,16,1.3,20.8757,M,-33.0524,M,,*7F


$GNGGA,001909.00,3859.54278866,N,07656.24894429,W,1,16,1.3,20.9920,M,-33.0525,M,,*76


$GNGGA,001910.00,3859.54336069,N,07656.24867397,W,1,18,1.1,21.1703,M,-33.0525,M,,*76


$GNGGA,001911.00,3859.54388005,N,07656.24855090,W,1,18,1.1,21.3747,M,-33.0525,M,,*7F


$GNGGA,001913.00,3859.54439344,N,07656.24853197,W,1,18,1.1,21.5225,M,-33.0525,M,,*71


$GNGGA,001914.00,3859.54475407,N,07656.24844081,W,1,18,1.1,21.5974,M,-33.0525,M,,*71


$GNGGA,001915.00,3859.54520015,N,07656.24824014,W,1,18,1.1,21.7131,M,-33.0525,M,,*77


$GNGGA,001916.00,3859.54565763,N,07656.24807404,W,1,18,1.1,21.7943,M,-33.0525,M,,*7A


$GNGGA,001917.00,3859.54517462,N,07656.24788964,W,1,18,1.1,21.8927,M,-33.0525,M,,*72


$GNGGA,001918.00,3859.54469596,N,07656.24767673,W,1,18,1.1,22.0335,M,-33.0525,M,,*75


$GNGGA,001919.00,3859.54418424,N,07656.24772495,W,1,18,1.1,22.0737,M,-33.0525,M,,*72


